Date,Bitcoin Price,Gold Price,S&P500 index,Risk Free Rate
2015-02-01,228.99,455.8,2020.85,0.02
2015-03-01,260.24,433.9,2117.39,0.03
2015-04-01,247.87,436.7,2059.69,0.02
2015-05-01,233.14,430.8,2108.29,0.02
2015-06-01,223.56,428.5,2111.73,0.02
2015-07-01,259.02,422.9,2077.42,0.03
2015-08-01,281.53,394.5,2098.04,0.07
2015-09-01,228.22,409.0,1913.85,0.02
2015-10-01,238.34,414.2,1923.82,0.02
2015-11-01,329.46,402.6,2104.05,0.12
2015-12-01,362.68,384.7,2102.63,0.23
2016-01-01,435.66,395.0,2012.66,0.26
2016-02-01,371.33,412.4,1939.38,0.31
2016-03-01,433.08,451.2,1978.35,0.29
2016-04-01,417.68,445.4,2072.78,0.23
2016-05-01,456.98,465.7,2081.43,0.27
2016-06-01,534.84,441.3,2099.33,0.27
2016-07-01,678.19,490.7,2102.95,0.3
2016-08-01,605.2,490.1,2170.84,0.3
2016-09-01,573.02,484.6,2170.86,0.29
2016-10-01,615.65,461.2,2161.2,0.33
2016-11-01,730.7,467.6,2111.72,0.45
2016-12-01,754.0,422.7,2191.08,0.51
2017-01-01,992.95,421.9,2257.83,0.51
2017-02-01,992.75,437.2,2279.55,0.52
2017-03-01,1230.0,449.6,2395.96,0.74
2017-04-01,1092.0,453.3,2358.84,0.8
2017-05-01,1436.5,450.4,2388.33,0.89
2017-06-01,2419.99,463.0,2430.06,0.98
2017-07-01,2423.63,441.9,2429.01,1.07
2017-08-01,2732.59,457.9,2476.35,1.01
2017-09-01,4947.99,484.7,2476.55,1.03
2017-10-01,4394.81,459.6,2529.12,1.07
2017-11-01,6783.69,460.4,2579.36,1.23
2017-12-01,10869.84,456.4,2642.22,1.32
2018-01-01,13480.01,475.9,2695.81,1.41
2018-02-01,9014.23,478.7,2821.98,1.57
2018-03-01,10895.92,479.1,2677.67,1.7
2018-04-01,6816.01,482.0,2581.88,1.76
2018-05-01,9072.29,473.7,2654.8,1.86
2018-06-01,7514.32,469.0,2734.62,1.9
2018-07-01,6349.5,453.1,2726.71,1.96
2018-08-01,7603.99,440.8,2813.36,2.03
2018-09-01,7191.08,433.5,2896.72,2.13
2018-10-01,6572.83,434.5,2924.59,2.25
2018-11-01,6344.0,444.0,2740.37,2.33
2018-12-01,4142.01,448.7,2790.37,2.37
2019-01-01,3826.1,464.4,2510.03,2.37
2019-02-01,3437.5,475.9,2706.53,2.39
2019-03-01,3806.17,467.3,2803.69,2.4
2019-04-01,4137.0,467.4,2867.19,2.38
2019-05-01,5321.15,463.7,2923.73,2.35
2019-06-01,8558.01,481.8,2744.45,2.17
2019-07-01,10570.62,506.1,2964.33,2.1
2019-08-01,10417.24,537.7,2953.56,1.95
2019-09-01,9769.64,554.7,2906.27,1.89
2019-10-01,8323.43,541.5,2940.25,1.65
2019-11-01,9268.0,539.2,3066.91,1.54
2019-12-01,7413.84,533.9,3113.87,1.54
2020-01-01,7174.32,555.0,3257.85,1.52
2020-02-01,9375.06,568.1,3248.92,1.52
2020-03-01,8490.3,595.4,3090.23,0.29
2020-04-01,6719.39,583.4,2470.5,0.14
2020-05-01,8813.9,617.3,2830.71,0.13
2020-06-01,10212.38,620.8,3055.73,0.16
2020-07-01,9239.09,642.6,3115.86,0.13
2020-08-01,11805.82,730.8,3294.61,0.1
2020-09-01,11911.74,707.7,3526.65,0.11
2020-10-01,10598.64,690.2,3380.8,0.1
2020-11-01,13784.52,694.6,3310.24,0.09
2020-12-01,18763.35,658.5,3662.45,0.09
2021-01-01,29391.09,696.6,3700.65,0.08
2021-02-01,33457.6,661.7,3773.86,0.04
